nsec_since_jan_1900,city_ref_co2_ppm,rural_ref_co2_ppm,date
3938716800,436.5486492,451.1084019,24/10/2024 00:00
3938720400,435.4000614,439.6154373,24/10/2024 01:00
3938724000,435.1165114,447.0562972,24/10/2024 02:00
3938727600,437.5861672,457.5405284,24/10/2024 03:00
3938731200,438.4216353,454.6073432,24/10/2024 04:00
3938734800,441.4328708,451.767362,24/10/2024 05:00
3938738400,446.08814,449.6655024,24/10/2024 06:00
3938742000,447.2786439,446.1980306,24/10/2024 07:00
3938745600,444.2013883,441.0994225,24/10/2024 08:00
3938749200,442.2912586,439.0321789,24/10/2024 09:00
3938752800,438.9589967,436.755387,24/10/2024 10:00
3938756400,434.9234817,435.3988644,24/10/2024 11:00
3938760000,432.4674844,435.2684233,24/10/2024 12:00
3938763600,433.4585642,435.9130678,24/10/2024 13:00
3938767200,434.9351408,437.3087567,24/10/2024 14:00
3938770800,437.1500536,439.5165511,24/10/2024 15:00
3938774400,442.2517911,442.557487,24/10/2024 16:00
3938778000,444.0068139,445.4996496,24/10/2024 17:00
3938781600,444.0460169,448.4484813,24/10/2024 18:00
3938785200,445.3132467,451.2543172,24/10/2024 19:00
3938788800,443.6589864,452.556241,24/10/2024 20:00
3938792400,445.7174181,452.0327222,24/10/2024 21:00
3938796000,445.8906131,466.4138012,24/10/2024 22:00
3938799600,447.0952917,472.7352996,24/10/2024 23:00
3938803200,444.5313822,455.3111122,25/10/2024 00:00
3938806800,444.3622411,463.9762655,25/10/2024 01:00
3938810400,445.8602797,468.9034422,25/10/2024 02:00
3938814000,447.3576286,473.4438005,25/10/2024 03:00
3938817600,449.0365358,462.0531443,25/10/2024 04:00
3938821200,451.9388647,460.2591887,25/10/2024 05:00
3938824800,455.3930333,460.087746,25/10/2024 06:00
3938828400,456.1609108,460.4467648,25/10/2024 07:00
3938832000,458.2896167,460.2275083,25/10/2024 08:00
3938835600,454.4056531,455.6390001,25/10/2024 09:00
3938839200,449.7562675,450.3146674,25/10/2024 10:00
3938842800,446.8715997,445.1080867,25/10/2024 11:00
3938846400,442.9487861,441.5527209,25/10/2024 12:00
3938850000,443.2943461,442.4605867,25/10/2024 13:00
3938853600,446.6865003,443.914171,25/10/2024 14:00
3938857200,447.2840244,448.0916186,25/10/2024 15:00
3938860800,450.5868322,456.8792737,25/10/2024 16:00
3938864400,447.3429139,463.5460886,25/10/2024 17:00
3938868000,434.0854789,447.7521993,25/10/2024 18:00
3938871600,437.1350375,443.1298863,25/10/2024 19:00
3938875200,439.6549375,443.6658785,25/10/2024 20:00
3938878800,446.7241994,479.417428,25/10/2024 21:00
3938882400,455.7287581,488.1629263,25/10/2024 22:00
3938886000,460.4092475,471.9501758,25/10/2024 23:00
3938889600,462.82842,519.976743,26/10/2024 00:00
3938893200,469.8969769,502.7089605,26/10/2024 01:00
3938896800,473.7969356,489.1035128,26/10/2024 02:00
3938900400,478.7003778,521.3469736,26/10/2024 03:00
3938904000,479.9363925,542.3847511,26/10/2024 04:00
3938907600,492.1216372,557.3942789,26/10/2024 05:00
3938911200,503.1586053,560.7990034,26/10/2024 06:00
3938914800,518.4933336,539.2898897,26/10/2024 07:00
3938918400,517.1804544,498.1795676,26/10/2024 08:00
3938922000,526.6608569,485.478239,26/10/2024 09:00
3938925600,486.1240481,471.088735,26/10/2024 10:00
3938929200,454.0850964,454.9430558,26/10/2024 11:00
3938932800,444.1214317,444.054081,26/10/2024 12:00
3938936400,453.2416319,442.1092828,26/10/2024 13:00
3938940000,454.2798939,444.5466331,26/10/2024 14:00
3938943600,437.0179225,444.4594779,26/10/2024 15:00
3938947200,437.7435819,444.3143399,26/10/2024 16:00
3938950800,443.9515803,449.6674122,26/10/2024 17:00
3938954400,452.3052522,458.9421621,26/10/2024 18:00
3938958000,447.5253869,459.8424353,26/10/2024 19:00
3938961600,453.0357294,466.9512357,26/10/2024 20:00
3938965200,465.171945,470.6668874,26/10/2024 21:00
3938968800,468.2215697,480.5968254,26/10/2024 22:00
3938972400,467.6538047,480.9585774,26/10/2024 23:00
3938976000,458.1910525,471.795044,27/10/2024 00:00
3938979600,454.4651275,482.5513989,27/10/2024 01:00
3938983200,454.3789064,457.3526155,27/10/2024 02:00
3938986800,452.4322103,467.3278454,27/10/2024 03:00
3938990400,448.5634814,456.8428759,27/10/2024 04:00
3938994000,449.50269,459.7931194,27/10/2024 05:00
3938997600,451.0406981,461.4604417,27/10/2024 06:00
3939001200,459.2904581,478.9305162,27/10/2024 07:00
3939004800,454.6596028,447.6078761,27/10/2024 08:00
3939008400,434.6527658,438.7492806,27/10/2024 09:00
3939012000,430.9260394,432.264572,27/10/2024 10:00
3939015600,427.1919825,428.8742447,27/10/2024 11:00
3939019200,424.8685167,425.0871348,27/10/2024 12:00
3939022800,423.5273611,427.1211444,27/10/2024 13:00
3939026400,424.1740581,429.4403948,27/10/2024 14:00
3939030000,426.3543411,432.0739202,27/10/2024 15:00
3939033600,431.6880494,436.5116724,27/10/2024 16:00
3939037200,437.1374758,443.6875904,27/10/2024 17:00
3939040800,441.1595806,446.5419288,27/10/2024 18:00
3939044400,444.96093,449.3280769,27/10/2024 19:00
3939048000,447.3609222,451.6652175,27/10/2024 20:00
3939051600,446.0631169,453.6861811,27/10/2024 21:00
3939055200,439.4049347,450.8167315,27/10/2024 22:00
3939058800,435.8533842,446.3924016,27/10/2024 23:00
3939062400,433.7770119,443.8985622,28/10/2024 00:00
3939066000,433.5694439,442.1890842,28/10/2024 01:00
3939069600,432.908485,438.1194294,28/10/2024 02:00
3939073200,430.3130497,438.4057261,28/10/2024 03:00
3939076800,430.7510392,437.5081804,28/10/2024 04:00
3939080400,432.1163642,437.9731755,28/10/2024 05:00
3939084000,432.6104697,441.4645567,28/10/2024 06:00
3939087600,432.9659875,439.5489253,28/10/2024 07:00
3939091200,431.4456386,439.9978648,28/10/2024 08:00
3939094800,430.0329253,438.6729927,28/10/2024 09:00
3939098400,428.650845,435.2123539,28/10/2024 10:00
3939102000,426.0614289,431.9228912,28/10/2024 11:00
3939105600,424.8523492,432.1944153,28/10/2024 12:00
3939109200,424.1456236,432.7803944,28/10/2024 13:00
3939112800,424.6908525,433.4707221,28/10/2024 14:00
3939116400,424.7808853,433.3508428,28/10/2024 15:00
3939120000,426.2484747,434.6922498,28/10/2024 16:00
3939123600,428.5339256,433.8539049,28/10/2024 17:00
3939127200,432.6855619,434.6609249,28/10/2024 18:00
3939130800,434.6166939,440.6386818,28/10/2024 19:00
3939134400,437.0009156,440.4036376,28/10/2024 20:00
3939138000,433.7181167,443.4662578,28/10/2024 21:00
3939141600,432.7234208,444.9161948,28/10/2024 22:00
3939145200,434.4267614,446.5678076,28/10/2024 23:00
